Table_Name,Column_Name,Attribute_Name,Definition,Column_Datatype,Display_Name
msha_commodity_lookup,actv_dt,Activity Date,The date the Activity took place.,date,Activity Date
msha_commodity_lookup,actv_ind,Activity Indicator,The indicator to flag for the presence of Activity. (Y = Yes; N=No),char(1),Activity Indicator
msha_commodity_lookup,cmmdty_cd,Commodity Code,Unique Code assigned to a commodity.,varchar(8),Commodity Code
msha_commodity_lookup,cmmdty_desc,Commodity Description,The description of the Commodity.,varchar(450),Commodity Description
msha_commodity_lookup,inactv_dt,Inactivity Date,N/A,date,Inactivity Date
msha_commodity_lookup,naics_cd,NAICS Code,The unique code number that is assigned to the NAICS.,varchar(8),NAICS Code
msha_commodity_lookup,old_sic_cd,Old SIC Code,N/A,varchar(5),Old SIC Code
msha_commodity_lookup,sffx_cd,Suffix Code,N/A,varchar(4),Suffix Code
msha_commodity_lookup,sic_cd,SIC Code,Description of the Standard Industrial Classification Code (SIC) code for the primary commodity at a mine.  May not contain data (null values).,varchar(8),SIC Code
msha_contractor,cntctr_id,Contractor ID,Identification number assigned by MSHA for a legal entity acting as a contractor at a mine.,varchar2(10),Contractor ID
msha_contractor,cntctr_nm,Contractor Name,Name of contractor.,varchar2(50),Contractor Name
msha_contractor,indstry_dim_id,Industry Code ID,The unique identifier that is assigned to the industry.,int4,No Label
msha_contractor,load_dt,Load Date,The date the load was completed.,date,No Label
msha_contractor,zip_dim_id,Zip Code ID,The zip code number for a particular area.,int4,No Label
msha_controller_history,ctrlr_end_dt,Controller End Date,Date the controller ceased to control the operator.,date mm/dd/yyyy,Controller End Date
msha_controller_history,ctrlr_id,Controller ID,Identification number assigned by MSHA Assessments for a Legal Entity acting as a controller of an operator.  If this person is a controller of an operator. this is the controller ID assigned to this person.,varchar2(7),Controller ID
msha_controller_history,ctrlr_nm,Controller Name,Either the business name or a person's name for the Legal Entity.,varchar2(72),Controller Name
msha_controller_history,ctrlr_start_dt,Controller Start Date,Date this controller started as the controller of the operator.,date mm/dd/yyyy,Controller Start Date
msha_controller_history,indstry_dim_id,Industry Code ID,The unique identifier that is assigned to the industry.,int4,No Label
msha_controller_history,load_dt,Load Date,The date the load was completed.,date,No Label
msha_controller_history,oper_id,Operator ID,Identification number assigned by MSHA for a Legal Entity acting as an operator at a mine.,varchar2(7),Operator ID
msha_controller_history,oper_nm,Operator Name,"""The latest operator name as updated by a LID (legal entity id form) or MIF (mine information form).  If the last action is a LID, it will be updated if Assessments updates the name when it is approved.  A new MIF will subsequently overwrite the mines operator name.  May not contain data (null values) if this record has a status of New Mine.  If it is a New Mine, this information will be entered into the system at a future date. """,varchar2(60),Operator Name
msha_controller_history,state_dim_id,State Code ID,The code used to identify a State.,int4,No Label
msha_cy_cntrctr_emplymnt,annual_coal_prod,Annual Coal Production,"""The annual summation of coal production where the average quarterly employment is greater than zero with grouping by calendar year, subunit code and contractor ID.  Production may have been reported and may not contain data (null values).""",number(9),Annual Coal Production
msha_cy_cntrctr_emplymnt,annual_hrs,Hours Reported for Year,The annual summation of hours where the average quarterly employment is greater than zero with grouping by calendar year. subunit code and contractor ID.,number(8),Hours Reported for Year
msha_cy_cntrctr_emplymnt,avg_annual_empl,Average Annual Employee Count,The average of the quarterly average employee count where the average quarterly employment is greater than zero and is grouped by calendar year. subunit code and contractor ID.,number(6),Average Annual Employee Count
msha_cy_cntrctr_emplymnt,calendar_yr,Calendar Year,The Calendar year for contractor employment.,number(4),Calendar Year
msha_cy_cntrctr_emplymnt,cmdty_type,Commodity Type,Code to indicate if the information is from (C) Coal or (M) Metal/Non-Metal.,char(1),Commodity Type
msha_cy_cntrctr_emplymnt,cntctr_id,Contractor ID,Identification number assigned by MSHA for a legal entity acting as a contractor at a mine.,varchar2(7),Contractor ID
msha_cy_cntrctr_emplymnt,indstry_dim_id,Industry Code ID,The unique identifier that is assigned to the industry.,int4,No Label
msha_cy_cntrctr_emplymnt,load_dt,Load Date,The date the load was completed.,date,No Label
msha_cy_cntrctr_emplymnt,subunit_cd,Subunit Code,Code referring to a location within a mine.,varchar(25),Subunit Code
msha_cy_cntrctr_emplymnt,zip_dim_id,Zip Code ID,The zip code number for a particular area.,int4,No Label
